,document,word1,word2,word3,word4,word5,class
0,Alfred Tarski_5 Further reading.txt,logical-8,truth-8,tarski-7,bibliography-5,feferman-5,logic
1,Aristotles Logic_1 Introduction.txt,logic-4,modern-4,formal-3,remarkable-3,logical-2,logic
2,Ancient Logic_3 The early Peripatetics Theophrastus and Eudemus.txt,theophrastus-24,syllogisms-16,figure-13,first-11,fortenbaugh-10,logic
3,Logical Constants_Further reading.txt,see-7,approach-5,logical-4,discussion-3,recent-2,logic
4,Logic and Artificial Intelligence_2 John McCarthy and Common Sense Logicism10.txt,reasoning-9,logical-8,mccarthy-8,methodology-5,research-4,logic
5,Propositional Function_12 Conclusion.txt,propositional-3,functions-3,logic-2,brief-1,history-1,logic
6,Logical Form_7 Notation and Restricted Quantification.txt,boy-25,form-14,one-13,sang-9,logical-9,logic
7,Bertrand Russell_2 Russells Work in Logic.txt,theory-19,mathematics-14,logic-13,russell-11,set-9,logic
8,Bernard Bolzano_2 Bolzanos Main Writings.txt,mathematics-4,bolzano-3,logic-3,work-2,three-2,logic
9,Model Theory_1 Basic notions of model theory.txt,model-13,sentence-8,theory-8,true-7,interpretation-7,logic
10,Logical Pluralism_2 Logical Pluralism via Linguistic Pluralism.txt,logical-22,logic-19,carnap-16,meaning-16,rules-13,logic
11,Logical Constants_4 Topic neutrality.txt,logic-14,topicneutral-13,might-12,logical-11,topic-11,logic
12,Medieval Theories of the Syllogism_3 Arabic Logic and Syllogisms.txt,sentences-30,logic-25,avicenna-17,absolute-15,arabic-14,logic
13,The Notation in Principia Mathematica_1 Why Learn the Symbolism in Principia Mathematica.txt,notation-7,logic-5,contemporary-4,symbolic-3,mathematics-3,logic
14,Logic and Artificial Intelligence_1 Logic and Artificial Intelligence.txt,logic-68,philosophical-39,logical-30,reasoning-26,new-13,logic
15,Medieval Theories of the Syllogism_10 Summary.txt,modal-6,theory-5,logic-5,syllogistic-4,buridan-3,logic
16,Willard Van Orman Quine_1 Quines life and work.txt,published-11,logic-3,ohio-2,attended-2,mathematical-2,logic
17,Modal Logic_5 Conditional and Relevance Logics.txt,logics-6,logic-5,modal-3,lewis-3,developed-3,logic
18,Logical Constants_5 Permutation invariance.txt,logical-47,domain-30,permutation-30,invariance-24,objects-21,logic
19,Willard Van Orman Quine_7 Quines place in the history of philosophy.txt,philosophy-7,work-6,philosophers-5,metaphysics-5,logical-4,logic
20,Propositional Function_1 PreHistory.txt,term-9,properties-8,intensional-8,logic-7,terms-6,logic
21,Set Theory_8 Forcing.txt,model-14,one-12,forcing-10,generic-9,set-8,logic
22,Bertrand Russell_4 Russells Theory of Definite Descriptions.txt,logical-10,russell-9,sentence-9,true-8,king-8,logic
23,Logic and Artificial Intelligence_4 Reasoning about Action and Change21.txt,problem-57,action-47,actions-45,logic-44,reasoning-35,logic
24,Rudolf Carnap_9 Final Years and Legacy.txt,carnap-9,philosophers-5,logical-4,empiricism-4,movement-3,logic
25,Vagueness_4 Manyvalued Logic.txt,logic-11,manyvalued-9,truthvalues-9,truth-8,lines-7,logic
26,Ludwig Wittgenstein_2 The Early Wittgenstein.txt,propositions-36,wittgenstein-21,tractatus-20,world-17,logical-17,logic
27,"Logic and Artificial Intelligence_9 Logical Approaches to Natural Language and 
Communication.txt",linguistic-11,logic-8,reasoning-7,information-7,discourse-7,logic
28,Modal Logic_12 Advanced Modal Logic.txt,modal-8,logic-6,mathematics-2,computer-2,science-2,logic
29,Second order and Higher order Logic_16 Finite Model Theory.txt,finite-9,logic-8,secondorder-7,models-6,infinite-4,logic
30,Constructive Mathematics_3 Varieties of Constructive Mathematics.txt,mathematics-48,constructive-28,logic-21,intuitionistic-20,one-17,logic
31,The Computational Theory of Mind_7 Arguments against computationalism.txt,computational-19,physical-16,model-15,temporal-14,mental-12,logic
32,Second order and Higher order Logic_8 Decidability Results.txt,monadic-20,secondorder-15,theory-11,vocabulary-8,logic-8,logic
33,Classical Logic_6 The One Right Logic.txt,logic-25,classical-11,one-8,right-8,reasoning-5,logic
34,Logical Constants_1 Syncategorematic terms.txt,logical-13,syncategorematic-10,function-9,constants-8,terms-8,logic
35,Analysis_6 Conceptions of Analysis in Analytic Philosophy and the Introduction of the Logical Transformative Conception.txt,analysis-30,analytic-18,logical-15,see-15,philosophy-13,logic
36,Second order and Higher order Logic_5 The Infamous Power of SecondOrder Logic.txt,logic-36,secondorder-32,set-21,order-16,first-15,logic
37,Ancient Logic_2 Aristotle.txt,aristotle-30,sentences-20,syllogisms-20,term-12,logic-11,logic
38,Medieval Theories of the Syllogism_9 Later Medieval Developments of the Theory.txt,logic-7,syllogistic-5,buridan-5,aristotle-5,little-3,logic
39,Logical Form_6 Regimentation and Communicative Slack.txt,language-24,sentences-19,logical-15,propositions-12,natural-12,logic
40,Logical Empiricism_1 Mapping the Movement.txt,logical-21,movement-13,vienna-10,berlin-10,empiricism-10,logic
41,Ancient Logic_6 Epicurus and the Epicureans.txt,epicureans-5,usener-5,utterances-5,logic-3,language-3,logic
42,Second order and Higher order Logic_13 Foundations of Mathematics.txt,secondorder-26,set-22,logic-22,theory-19,axioms-17,logic
43,Logical Form_8 Transformational Grammar.txt,structure-25,grammatical-22,logical-12,form-12,language-12,logic
44,Second order and Higher order Logic_3 The Semantics of SecondOrder Logic.txt,logic-23,secondorder-16,set-14,player-13,order-12,logic
45,Principia Mathematica_4 Volume I.txt,theory-95,logic-66,variables-55,types-53,function-50,logic
46,Logical Consequence_2 Formal and Material Consequence.txt,logical-10,formal-7,permutation-7,form-6,content-6,logic
47,Logical Empiricism_2 Background.txt,logical-15,philosophy-15,could-12,empirical-12,logic-12,logic
48,Alfred Tarski_3 Logical consequence.txt,tarski-41,logical-21,consequence-21,lar-20,sentence-18,logic
49,Quantifiers and Quantification_1 Classical Quantificational Logic.txt,logic-33,model-31,quantificational-29,formula-26,langle-22,logic
50,Second order and Higher order Logic_2 The Syntax of SecondOrder Logic.txt,variables-12,formula-10,logic-9,relation-9,function-9,logic
51,Propositional Function_2 The Logic of Relatives.txt,relations-6,peirces-5,terms-5,logic-5,term-4,logic
52,Russells Logical Atomism_5 Influence and Reception.txt,wittgenstein-7,logical-6,influence-6,analysis-6,philosophy-5,logic
53,Formalism in the Philosophy of Mathematics_7 The CurryHoward Correspondence.txt,type-37,theory-26,logic-17,syntactic-16,rightarrow-15,logic
54,Set Theory_7 Gdels constructible universe.txt,model-8,set-6,contains-6,lalpha-5,zfc-5,logic
55,Logical Constructions_4 Definite Descriptions.txt,descriptions-11,logical-9,constructions-9,theory-8,one-7,logic
56,Principia Mathematica_2 History of and Significance of Principia Mathematica.txt,russell-21,logic-17,axiom-17,first-16,principia-15,logic
57,Second order and Higher order Logic_7 Model Theory of SecondOrder Logic.txt,secondorder-66,logic-40,model-26,structure-23,characterizable-23,logic
58,Modal Logic_4 Temporal Logics.txt,future-8,temporal-7,logic-7,past-7,always-7,logic
59,Logical Truth_2 The Mathematical Characterization of Logical Truth.txt,logical-94,truth-55,validity-52,modeltheoretic-41,one-33,logic
60,Hans Reichenbach_5 Logic and Modality.txt,nomological-13,consistency-12,statements-12,reichenbach-10,logical-10,logic
61,Modal Logic_1 What is Modal Logic.txt,logics-2,narrowly-1,construed-1,modal-1,logic-1,logic
62,Logical Form_9 Semantic Structure and Events.txt,form-15,sentences-14,logical-13,like-12,natural-10,logic
63,Rudolf Carnap_8 Inductive Logic and the ReEmergence of the Theoretical Language.txt,carnap-37,theoretical-26,inductive-18,language-18,logic-16,logic
64,Model Theory_3 Modeltheoretic consequence.txt,argument-15,consequence-12,logic-8,modeltheoretic-7,vdash-7,logic
65,John Buridan_3 Language.txt,buridan-11,logic-8,discourse-8,propositions-8,philosophy-7,logic
66,Philosophy of Mathematics_2 Four schools.txt,mathematics-44,arithmetic-39,mathematical-27,peano-23,logic-21,logic
67,Second order and Higher order Logic_6 NonAbsoluteness of Truth in SecondOrder Logic.txt,zfc-18,logic-14,absolute-14,transitive-14,model-14,logic
68,Logical Constructions_3 Natural Numbers.txt,russell-12,classes-10,logical-10,numbers-6,dedekind-6,logic
69,Medieval Theories of the Syllogism_2 Boethius.txt,sentences-18,hypothetical-17,boethius-15,syllogism-14,logic-12,logic
70,Alfred North Whitehead_2 Mathematics and Logic.txt,whitehead-20,russell-19,mathematics-13,logic-11,project-10,logic
71,Modal Logic_6 Possible Worlds Semantics.txt,truth-21,logic-16,true-12,box-12,world-11,logic
72,Francis Herbert Bradley_5 Logic.txt,ideas-18,bradley-16,logic-14,inference-14,judgment-14,logic
73,Logical Constructions_2 Logical Analysis and Logical Construction.txt,analysis-18,logical-16,russell-13,construction-12,theory-9,logic
74,Logical Form_10 Further Questions.txt,logical-5,questions-4,claims-4,form-3,sentence-3,logic
75,Logical Pluralism_3 Further kinds of Logical Pluralism.txt,logical-35,one-21,logic-20,correct-18,consequence-16,logic
76,Rudolf Carnap_5 Logical Syntax of Language.txt,carnap-26,syntax-20,logical-16,language-14,tolerance-12,logic
77,Modal Logic_2 Modal Logics.txt,box-24,diamond-16,modal-14,necessary-12,logic-11,logic
78,George Edward Moore_4 Philosophical Analysis.txt,moore-18,logical-14,propositions-12,analysis-11,russell-7,logic
79,Modal Logic_13 Bisimulation.txt,bisimulation-7,one-7,forall-7,modal-6,logic-6,logic
80,Ancient Logic_5 The Stoics.txt,assertibles-27,assertible-26,logic-23,true-22,one-20,logic
81,Second order and Higher order Logic_9 Axioms of SecondOrder Logic.txt,logic-53,secondorder-47,models-33,set-24,axiom-22,logic
82,Model Theory_4 Expressive strength.txt,firstorder-14,language-11,reducible-8,logic-8,mathbbr-8,logic
83,Alfred Tarski_4 Logical constants.txt,logical-57,tarski-52,universe-27,definition-21,theory-21,logic
84,Second order and Higher order Logic_12 Higher Order Logic visvis Type Theory.txt,logic-24,order-23,type-15,theory-13,secondorder-10,logic
85,Rudolf Carnap_1 General Characterization of Carnaps Philosophy.txt,carnap-55,language-44,scientific-31,frameworks-26,logical-23,logic
86,Logical Consequence_3 Mathematical Tools Models and Proofs.txt,logical-49,truth-34,consequence-32,proof-31,one-30,logic
87,Constructive Mathematics_8 Concluding Remarks.txt,mathematics-6,constructive-5,logic-5,mathematician-4,intuitionistic-3,logic
88,Carl Hempel_2 The Critique of Logical Positivism.txt,hempel-20,sentences-20,logical-19,would-18,properties-14,logic
89,Gottlob Frege_2 Freges Logic and Philosophy of Mathematics.txt,frege-106,concept-64,logic-54,one-54,concepts-43,logic
90,Ancient Logic_7 Later Antiquity.txt,logic-16,syllogisms-12,stoic-10,logical-7,also-7,logic
91,Russells Logical Atomism_1 Introduction.txt,logical-14,atomism-12,atomic-10,russell-9,propositions-7,logic
92,Logical Consequence_4 Premises and Conclusions.txt,premises-18,conclusion-18,consequence-13,argument-12,logical-11,logic
93,Possible Worlds_1 Possible Worlds and Modal Logic.txt,world-44,possible-43,modal-38,truth-33,logic-28,logic
94,Logical Pluralism_1 CaseBased Logical Pluralism.txt,one-43,logical-39,logic-32,might-29,pluralism-25,logic
95,Quantifiers and Quantification_2 Departures from Classical Quantificational Logic.txt,logic-41,true-35,lnot-29,quantificational-25,substitutional-25,logic
96,Logical Truth_1 The Nature of Logical Truth.txt,logical-99,see-46,truths-41,truth-34,view-28,logic
97,Simplicity_5 ProbabilisticStatistical Justifications of Simplicity.txt,simplicity-22,probability-11,approach-11,model-11,one-10,logic
98,Aristotle_4 Logic Science and Dialectic.txt,aristotle-26,deduction-25,science-17,logic-15,first-14,logic
99,The Correspondence Theory of Truth_7 Modified Versions of the Correspondence Theory.txt,facts-48,true-34,logical-26,truthbearers-25,atomic-20,logic
100,Bertrand Russell_3 Russells Work in Analytic Philosophy.txt,knowledge-27,russell-24,also-12,philosophy-11,logical-9,logic
101,Vagueness_6 Subvaluationism.txt,supervaluationism-7,gaps-7,logic-7,vagueness-6,gluts-5,logic
102,The Analytic Synthetic Distinction_2 High Hopes.txt,could-13,claims-9,philosophers-8,mathematics-7,logical-7,logic
103,Second order and Higher order Logic_1 Introduction.txt,logic-35,secondorder-21,first-16,order-16,theory-14,logic
104,Herbert Feigl_3 Logical Empiricism and Scientific Realism.txt,feigl-33,logical-18,theoretical-12,see-11,realism-9,logic
105,The Philosophy of Neuroscience_8 Developments over the Second Decade of the TwentyFirst Century.txt,neuroscience-39,cognitive-24,visual-17,systems-16,model-16,logic
106,Logical Constants_6 Inferential characterizations.txt,rules-51,logical-21,introduction-21,elimination-21,constants-19,logic
107,Russells Logical Atomism_4 Ontological Aspects of Russells Logical Atomism.txt,russell-60,logical-42,atomic-40,one-38,facts-35,logic
108,Wittgensteins Aesthetics_2 The Critique of Scientism.txt,aesthetic-20,wittgenstein-18,one-10,explanation-8,model-8,logic
109,Logical Constants_7 Pragmatic demarcations.txt,logic-18,demarcations-10,warmbrod-7,pragmatic-7,analytical-6,logic
110,Model Theory_5 Models and modelling.txt,model-15,theory-12,models-10,modeltheoretic-7,form-6,logic
111,The Computational Theory of Mind_1 Turing machines.txt,turing-21,machine-13,computation-6,algorithm-5,model-5,logic
112,Logic and Artificial Intelligence_12 Prospects for a Logical Theory of Practical Reason.txt,logic-9,reasoning-7,work-4,deontic-4,practical-3,logic
113,Logical Constants_8 Problem or pseudoproblem.txt,logical-33,constants-20,argument-16,logic-12,distinction-10,logic
114,Logicism and Neologicism_4 Constructive Logicism.txt,rules-23,constructive-14,natural-13,logic-11,antirealist-10,logic
115,Wittgensteins Logical Atomism_5 The Dismantling of Logical Atomism.txt,logical-19,wittgenstein-17,analysis-13,tractatus-9,two-8,logic
116,Logical Consequence_5 One or Many.txt,logical-9,one-9,different-7,consequence-6,argument-6,logic
117,Vagueness_3 The Philosophical Challenge Posed by Vagueness.txt,old-14,child-11,human-10,threshold-9,logic-8,logic
118,Logical Constructions_1 Honest Toil.txt,logical-18,russell-12,numbers-11,classes-9,definitions-8,logic
119,Logic and Artificial Intelligence_3 Nonmonotonic Reasoning and Nonmonotonic Logics.txt,nonmonotonic-49,logic-43,reasoning-26,logical-24,default-18,logic
120,Analysis_7 Conclusion.txt,analysis-9,analytic-4,logical-3,history-2,philosophy-2,logic
121,Quantifiers and Quantification_3 Extensions of Classical Quantificational Logic.txt,quantification-86,secondorder-62,logic-60,propositional-45,may-41,logic
122,Logical Constants_2 Grammatical criteria.txt,grammatical-17,logical-14,one-11,constants-9,fol-8,logic
123,Modal Logic_15 Quantifiers in Modal Logic.txt,logic-24,exists-21,possible-20,rules-19,classical-16,logic
124,Second order and Higher order Logic_4 Properties of SecondOrder Formulas.txt,secondorder-19,phi-12,formulas-11,first-10,logic-10,logic
125,Medieval Theories of the Syllogism_1 Aristotles Theory.txt,aristotle-23,syllogisms-22,sentences-19,modal-15,valid-14,logic
126,Logical Empiricism_5 Impact.txt,science-13,logical-10,movement-9,even-6,philosophers-6,logic
127,Modal Logic_7 Modal Axioms and Conditions on Frames.txt,box-15,world-11,logic-10,relation-8,worlds-8,logic
128,Vagueness_5 Supervaluationism.txt,true-15,statement-9,logic-8,truthvalue-6,supervaluationist-6,logic
129,Logical Constructions_10 Successors to Logical Construction.txt,logical-16,construction-16,project-11,matter-11,quine-10,logic
130,Russells Paradox_4 Russells Paradox in Contemporary Logic.txt,paradox-45,theory-23,one-18,set-17,logic-17,logic
131,Logic and Artificial Intelligence_7 Reasoning about Knowledge.txt,logic-10,logical-9,attitudes-8,work-8,epistemic-6,logic
132,The Analytic Synthetic Distinction_1 The Intuitive Distinction.txt,would-14,analytic-13,logical-12,see-11,truth-9,logic
133,Ancient Logic_1 PreAristotelian Logic.txt,logical-9,bce-7,plato-6,subject-6,says-5,logic
134,Logic and Artificial Intelligence_11 Contextual Reasoning.txt,context-10,logic-6,mccarthy-5,explicit-3,languages-3,logic
135,Second order and Higher order Logic_11 Logics Between First and Second Order.txt,logic-14,secondorder-12,quantifier-11,order-9,first-8,logic
136,Logical Form_5 Descriptions and Analysis.txt,proposition-16,boy-14,propositions-14,russell-13,logical-11,logic
137,Quantifiers and Quantification_4 Quantification and Ontology.txt,logic-47,objects-47,quantification-43,existence-33,domain-32,logic
138,Logic and Artificial Intelligence_10 Taxonomic Representation and Reasoning.txt,logic-7,nonmonotonic-7,taxonomic-5,systems-4,knowledge-3,logic
139,Luitzen Egbertus Jan Brouwer_1 The Person.txt,brouwer-13,mathematics-6,korteweg-5,also-5,university-4,mathematics
140,Interpretations of Probability_4 Conclusion Recent Trends Future Prospects.txt,probability-31,see-21,probabilities-18,theory-17,interpretations-10,mathematics
141,Philosophy of Mathematics_6 The Future.txt,mathematical-11,philosophy-6,mathematics-5,questions-4,concepts-4,mathematics
142,Set Theory_6 The set theory of the continuum.txt,sets-40,set-37,projective-14,property-12,numbers-11,mathematics
143,Formalism in the Philosophy of Mathematics_3 Tractarian Formalism.txt,wittgenstein-20,mathematics-15,one-14,account-12,tractatus-10,mathematics
144,Formalism in the Philosophy of Mathematics_1 Introduction.txt,frege-7,position-6,formalism-5,finitary-5,mathematics-4,mathematics
145,The Frege Hilbert Controversy_1 Introduction.txt,consistency-6,independence-6,axioms-5,mathematical-5,hilbert-4,mathematics
146,Set Theory_1 The origins.txt,set-23,theory-12,numbers-11,sets-10,axiom-8,mathematics
147,Bertrand Russell_2 Russells Work in Logic.txt,theory-19,mathematics-14,logic-13,russell-11,set-9,mathematics
148,Bernard Bolzano_2 Bolzanos Main Writings.txt,mathematics-4,bolzano-3,logic-3,work-2,three-2,mathematics
149,Type Theory_4 Type TheorySet Theory.txt,set-11,theory-9,type-8,relation-5,hold-5,mathematics
150,Philosophy of Mathematics_4 Structuralism and Nominalism.txt,mathematical-48,numbers-28,theory-27,entities-26,theories-25,mathematics
151,Philosophy of Mathematics_5 Special Topics.txt,set-47,theory-36,secondorder-31,one-25,mathematical-21,mathematics
152,The Notation in Principia Mathematica_1 Why Learn the Symbolism in Principia Mathematica.txt,notation-7,logic-5,contemporary-4,symbolic-3,mathematics-3,mathematics
153,Willard Van Orman Quine_1 Quines life and work.txt,published-11,logic-3,ohio-2,attended-2,mathematical-2,mathematics
154,Set Theory_8 Forcing.txt,model-14,one-12,forcing-10,generic-9,set-8,mathematics
155,Hans Reichenbach_8 Retrospective.txt,work-4,respect-4,reichenbachs-3,probability-3,true-3,mathematics
156,Type Theory_3 Ramified Hierarchy and Impredicative Principles.txt,order-36,hierarchy-33,ramified-25,properties-25,number-23,mathematics
157,Modal Logic_12 Advanced Modal Logic.txt,modal-8,logic-6,mathematics-2,computer-2,science-2,mathematics
158,Logicism and Neologicism_2 NeoFregeanism.txt,number-8,neofregean-7,principle-6,revival-5,form-5,mathematics
159,Kurt Gdel_1 Biographical Sketch.txt,gödel-40,gödels-13,published-9,entitled-9,mathematics-8,mathematics
160,Constructive Mathematics_3 Varieties of Constructive Mathematics.txt,mathematics-48,constructive-28,logic-21,intuitionistic-20,one-17,mathematics
161,Interpretations of Probability_3 The Main Interpretations.txt,probability-153,probabilities-91,may-74,one-61,relative-57,mathematics
162,Tarskis Truth Definitions_1 The 1933 programme and the semantic conception.txt,definition-19,truth-13,metalanguage-13,language-12,set-12,mathematics
163,Alfred Tarski_1 Biographical sketch.txt,tarski-6,university-6,mathematics-4,berkeley-4,warsaw-3,mathematics
164,Second order and Higher order Logic_5 The Infamous Power of SecondOrder Logic.txt,logic-36,secondorder-32,set-21,order-16,first-15,mathematics
165,Wittgensteins Philosophy of Mathematics_3 The Later Wittgenstein on Mathematics Some Preliminaries.txt,wittgenstein-91,rfm-80,mathematical-61,proposition-45,mathematics-37,mathematics
166,Ernst Cassirer_3 Philosophy of Mathematics and Natural Science.txt,cassirer-15,theory-11,philosophical-10,mathematical-10,conception-9,mathematics
167,Set Theory_4 The universe V of all sets.txt,valpha-15,set-9,alpha-8,zfc-8,ordinal-5,mathematics
168,Constructive Mathematics_7 Constructive Mathematical Economics and Finance.txt,mathematical-4,constructive-3,existence-3,berger-3,svindland-3,mathematics
169,Logicism and Neologicism_1 Historical background.txt,one-84,number-49,theory-47,frege-43,numbers-36,mathematics
170,Luitzen Egbertus Jan Brouwer_4 Brouwers Development of Intuitionism.txt,brouwer-17,mathematics-14,sequences-12,choice-11,principle-10,mathematics
171,Second order and Higher order Logic_13 Foundations of Mathematics.txt,secondorder-26,set-22,logic-22,theory-19,axioms-17,mathematics
172,Second order and Higher order Logic_3 The Semantics of SecondOrder Logic.txt,logic-23,secondorder-16,set-14,player-13,order-12,mathematics
173,Second order and Higher order Logic_15 SecondOrder Set Theory.txt,set-8,theory-7,first-7,order-7,secondorder-7,mathematics
174,Propositional Function_6 Propositional Functions in  Simple Type Theory.txt,type-13,set-9,variables-9,paradox-8,theory-8,mathematics
175,Wittgensteins Philosophy of Mathematics_1 Wittgenstein on Mathematics in the Tractatus.txt,propositions-27,mathematical-26,wittgenstein-21,proposition-20,equations-15,mathematics
176,Freges Theorem and Foundations for Arithmetic_3 Freges Analysis of Cardinal Numbers.txt,principle-30,concepts-27,number-25,concept-22,definition-19,mathematics
177,Philosophy of Mathematics_3 Platonism.txt,mathematical-54,theory-27,objects-22,mathematics-19,theories-18,mathematics
178,Russells Paradox_1 The Paradox.txt,set-16,phix-12,members-9,axiom-6,sets-5,mathematics
179,Second order and Higher order Logic_14 SecondOrder Arithmetic.txt,theory-7,numbers-6,mathematics-6,arithmetic-5,set-5,mathematics
180,Set Theory_7 Gdels constructible universe.txt,model-8,set-6,contains-6,lalpha-5,zfc-5,mathematics
181,The Notation in Principia Mathematica_3 The Use of Dots for Punctuation.txt,dots-19,number-12,parentheses-10,scope-10,group-10,mathematics
182,Logicism and Neologicism_3 Secondorder logic with Humes Principle.txt,numbers-24,principle-13,number-13,one-12,natural-12,mathematics
183,Intuitionism in the Philosophy of Mathematics_4 Constructivism.txt,constructive-5,constructivism-4,mathematics-4,intuitionism-2,forms-2,mathematics
184,Formalism in the Philosophy of Mathematics_4 Formalism and the Positivists.txt,one-15,carnap-15,mathematics-11,theory-9,mathematical-8,mathematics
185,Set Theory_11 Forcing axioms.txt,forcing-13,set-9,every-9,sets-8,partial-8,mathematics
186,Bernard Bolzano_8 Philosophy of Religion and Theology.txt,bolzano-19,religion-16,sense-8,religious-8,probability-8,mathematics
187,Logical Empiricism_4 Issues.txt,carnap-62,would-38,science-36,probability-33,sentences-29,mathematics
188,The Frege Hilbert Controversy_2 Hilberts Foundations of Geometry.txt,consistency-19,set-14,axioms-12,independence-11,terms-11,mathematics
189,Russells Paradox_3 Early Responses to the Paradox.txt,set-11,theory-9,paradox-8,one-8,collection-8,mathematics
190,Formalism in the Philosophy of Mathematics_6 Term Formalism Curry.txt,formal-9,system-9,curry-7,one-7,mathematics-6,mathematics
